invoice_h_id,qty,unit_price_egp,discount_abs,line_total_after_disc,ship_to_address
300005,3,8.18,4.43,20.11,Industrial Zone 148 - Smouha
300005,2,110.68,53.66,167.70,"170 Horreya st., near mosque, Smuoha"
300005,4,144.54,150.44,427.72,18 school Smouha
300005,6,195.37,225.14,947.08,"107 Gamet Dewal st., near school, Smouha"
300005,4,19.51,19.32,58.72,
300005,4,17.30,17.78,51.42,"42 Abbas st., near gas station, Smouha"
300005,2,119.06,63.08,175.04,
300005,4,89.38,71.69,285.83,smouha 116 Horreya st. gas station
300006,4,7.30,3.75,25.45,204 square Smouha
300006,2,121.57,34.71,208.43,20 gas station Smoouha
300006,1,95.71,18.48,77.23,Smouha 81 Autostrad st. square
300006,4,101.38,63.18,342.34,Autostrad 212 - Smouha
300006,9,13.11,17.91,100.08,185 school smouha
300006,5,16.74,10.13,73.57,Smmouha 39 Horreya st. school
300006,5,205.41,149.42,877.63,18 gas station Smouuha
300006,4,460.02,259.82,1580.26,Nasr 84 - smouha
300006,4,12.45,4.18,45.62,Smouha 178 Autostrad st. square
300006,3,31.45,9.74,84.61,Abbas 24 - Smouha
300006,5,102.05,47.59,462.66,162 bridge Smoouha
300006,4,23.66,13.70,80.94,Salah Salem 210 - Smouha
300006,3,109.39,29.30,298.87,199 mosque Smouha
300012,2,18.43,3.19,33.67,
300012,5,87.07,30.38,404.97,Faisal 49 - Smouha
300012,3,101.76,22.60,282.68,SMOUHA 202 Salah Salem st. square
300012,2,334.22,50.71,617.73,"66 Haram st., near gas station, smouha"
300013,4,230.64,81.67,840.89,Salah Salem 181 - Smouha
300013,4,65.94,26.50,237.26,230 school Smouha
300013,3,185.50,37.35,519.15,Smouha 33 Geish st. bridge
300013,3,12.18,2.75,33.79,Smouha 235 Corniche st. park
300013,5,217.68,129.59,958.81,9th District 66 - smouha
300013,4,131.21,27.13,497.71,Mustafa Nahhas 22 - Smuha
300018,4,110.92,100.05,343.63,"148 Sudan st., near school, smouha"
300018,5,18.41,17.57,74.48,
300018,6,7.67,9.85,36.17,
300018,5,429.66,444.87,1703.43,"142 Port Said st., near metro, Smouha"
300018,3,81.56,48.10,196.58,100 hospital SMOUHA
300018,4,30.36,24.43,97.01,Zayed 119 - Smohua
300018,3,84.94,55.50,199.32,smouha 3 9th District st. square
300018,3,41.13,25.12,98.27,Smoha 107 9th District st. school
300018,4,19.12,14.44,62.04,Gamet Dewal 30 - Smouha
300018,3,56.36,33.55,135.53,SMOUHA 132 Abbas st. school
300026,5,440.58,474.67,1728.23,213 market SMOUHA
300026,6,143.22,121.72,737.60,Sudan 7 - Smouha
300028,5,150.48,177.14,575.26,Port Said 178 - Smouha
300028,3,7.31,5.06,16.87,231 square SMOUHA
300028,5,160.82,204.30,599.80,Smouha 74 Industrial Zone st. hospital
300028,5,522.75,646.09,1967.66,Smoouha 203 Nile st. school
300028,2,23.02,10.69,35.35,Haram 133 - Smouha
300028,4,100.99,77.14,326.82,smouha 12 Autostrad st. school
300030,2,104.26,51.18,157.34,
300030,3,337.05,320.72,690.43,
300030,4,217.30,213.95,655.25,smouha 34 Nasr st. park
300030,4,64.29,69.23,187.93,70 police st. SMOUHA
300030,6,8.34,11.50,38.54,"33 Autostrad st., near gas station, Smohua"
300030,4,483.48,481.37,1452.55,
300035,5,205.82,41.57,987.53,NasrC ity 75 Nile st. mosque
300035,8,84.15,81.58,591.62,Nsr City 75 Port Said st. gas station
300035,3,22.70,6.71,61.39,
300035,9,107.73,84.98,884.59,Nasr City 108 Zayed st. police st.
300039,4,140.45,90.17,471.63,
300039,4,148.81,104.75,490.49,151 square Nsar City
300039,5,26.21,23.68,107.37,156 market NASR CITY
300039,3,71.51,32.76,181.77,Nasr City 204 Abbas st. park
300039,6,132.40,157.43,636.97,nasr city 179 Zayed st. market
300039,2,17.87,6.48,29.26,
300039,3,59.84,37.96,141.56,99 school Nasr City
300045,4,31.12,18.01,106.47,Nasr 30 - Nasr City
300045,4,223.44,130.46,763.30,Nsr City 99 Haram st. mosque
300045,5,86.35,92.50,339.25,236 school NASR CITY
300045,2,547.74,233.41,862.07,Faisal 12 - Nasr City
300045,1,189.38,33.75,155.63,
300045,4,186.76,169.84,577.20,nasr city 101 Industrial Zone st. bridge
300045,2,23.50,9.14,37.86,81 police st. NasrC ity
300045,2,23.54,8.25,38.83,"216 Haram st., near market, nasr city"
300045,5,387.24,389.75,1546.45,Nasr 165 - Nasr City
300045,5,43.56,43.91,173.89,"105 Industrial Zone st., near bridge, Nar City"
300057,5,26.33,28.11,103.54,70 metro Nasr City
300057,3,42.35,22.76,104.29,126 market nasr city
300057,1,8.69,1.73,6.96,NASR CITY 55 Nile st. police st.
300057,7,144.14,140.89,868.09,"38 Autostrad st., near bridge, Nasr City"
300057,3,131.08,71.97,321.27,38 gas station Nasr  City
300057,7,127.25,139.22,751.53,
300057,1,221.40,17.23,204.17,148 bridge Nasr City
300062,5,135.96,64.46,615.34,
300062,2,41.18,10.89,71.47,NASR CITY 80 Zayed st. gas station
300063,5,520.20,633.58,1967.42,"157 Zayed st., near bridge, nasr city"
300063,4,142.12,163.10,405.38,Port Said 19 - Nasr City
300064,6,18.20,9.24,99.96,Nasr City 88 Autostrad st. school
300064,5,315.95,137.11,1442.64,NASR CITY 120 Corniche st. market
300064,4,8.50,5.65,28.35,
300064,3,61.73,21.17,164.02,Nasr CCity 76 Horreya st. park
300070,3,257.76,118.75,654.53,Geish 190 - Faisal
300070,2,45.68,9.61,81.75,faisal 165 Faisal st. police st.
300070,3,66.98,22.97,177.97,Nasr 117 - FAISAL
300070,5,258.72,185.92,1107.68,Nile 169 - Faiisal
300070,6,12.81,3.75,73.11,
300070,3,224.68,66.10,607.94,Fisal 200 Salah Salem st. market
300070,5,531.42,388.78,2268.32,faisal 53 Tahrir st. police st.
300070,6,19.67,16.60,101.42,198 square Faisal
300074,2,45.00,18.13,71.87,"221 Haram st., near park, FAISAL"
300074,4,96.96,66.56,321.28,"210 Haram st., near square, Fasial"
300074,4,170.19,168.37,512.39,Faisal 211 Haram st. mosque
300074,3,93.70,48.96,232.14,Sudan 23 - Fasial
300074,2,164.74,56.71,272.77,
300074,7,196.60,236.78,1139.42,Faisal 109 Mustafa Nahhas st. market
300074,1,103.39,25.45,77.94,Fiasal 2 Tahrir st. square
300074,10,140.60,227.04,1178.96,Corniche 193 - Faisal
300074,7,204.18,290.50,1138.76,85 police st. faisal
300074,3,8.26,4.82,19.96,
300074,2,496.23,182.60,809.86,
300081,4,125.67,53.77,448.91,137 school Fasial
300081,6,90.43,40.62,501.96,Geish 117 - Faisal
300081,4,8.52,2.73,31.35,226 bridge Faisal
300081,5,7.82,4.33,34.77,234 hospital faisal
300081,2,221.76,21.19,422.33,"223 Nile st., near square, Faisal"
300091,3,86.19,35.67,222.90,31 market FAISAL
300091,1,160.82,19.11,141.71,Tahrir 40 - Faisal
300091,2,30.89,6.78,55.00,"199 Zayed st., near gas station, Fisal"
300091,4,317.84,258.95,1012.41,90 bridge FAISAL
300091,5,103.58,84.60,433.30,224 police st. Faisal
300091,6,325.08,248.63,1701.85,
300091,3,325.08,45.64,929.60,
300091,7,120.52,92.21,751.43,
300091,1,391.44,65.13,326.31,"74 Salah Salem st., near bridge, faisal"
300091,4,516.63,274.07,1792.45,FAISAL 163 Abbas st. hospital
300091,7,223.86,155.35,1411.67,
300091,5,8.42,7.68,34.42,"172 Faisal st., near gas station, Fiasal"
300091,3,93.89,35.31,246.36,
300091,3,197.83,82.10,511.39,Faissal 228 9th District st. hospital
300091,2,16.70,5.74,27.66,
300095,4,92.26,61.13,307.91,
300095,4,122.63,58.40,432.12,197 metro Fisal
300096,6,77.17,81.73,381.29,"14 Salah Salem st., near market, Fiasal"
300096,6,60.88,53.80,311.48,"123 Abbas st., near square, Faisal"
300096,4,21.82,16.60,70.68,Fasial 107 9th District st. school
300096,5,188.50,114.90,827.60,Nasr 74 - FAISAL
300096,4,211.56,123.17,723.07,202 mosque Faisal
300096,3,19.60,11.31,47.49,63 police st. faisal
300096,5,114.46,105.83,466.47,Fisal 165 Mustafa Nahhas st. bridge
300103,3,320.99,148.31,814.66,
300103,5,126.73,104.26,529.39,"61 Horreya st., near school, Faisal"
300103,2,16.92,5.15,28.69,"61 9th District st., near mosque, Faaisal"
300103,5,309.02,366.33,1178.77,212 bridge Faissal
300109,1,122.36,12.80,109.56,"184 Port Said st., near bridge, Mohandssin"
300109,7,12.34,14.11,72.27,Geish 29 - MOHANDESSIN
300109,6,251.28,228.82,1278.86,
300109,5,12.98,4.03,60.87,229 police st. mohandessin
300117,5,46.49,4.32,228.13,Moandessin 224 Horreya st. gas station
300117,2,66.80,19.90,113.70,Horreya 131 - mohandessin
300117,2,58.32,11.41,105.23,
300117,6,60.70,45.57,318.63,Mohandessin 198 Nasr st. market
300117,6,125.14,42.35,708.49,"210 Sudan st., near market, mohandessin"
300117,4,13.65,2.87,51.73,Mohandessin 56 Faisal st. market
300117,3,547.74,152.93,1490.29,"164 Nile st., near market, Mohnadessin"
300117,4,438.90,75.05,1680.55,Mohnadessin 146 Horreya st. market
300127,6,47.52,65.72,219.40,mohandessin 138 Mustafa Nahhas st. school
300127,5,22.46,14.89,97.41,"220 Abbas st., near hospital, Mohandessin"
300127,2,18.41,9.05,27.77,
300127,1,512.55,158.36,354.19,
300127,5,159.28,200.59,595.81,179 school Mohandessin
300129,4,22.18,19.59,69.13,84 hospital Mhandessin
300129,4,22.58,13.62,76.70,30 square MOHANDESSIN
300129,3,7.69,4.69,18.38,72 hospital MOHANDESSIN
300129,2,26.35,9.22,43.48,Abbas 48 - Mohandessin
300129,3,12.48,5.66,31.78,mohandessin 60 Faisal st. bridge
300133,2,78.50,12.41,144.59,135 market Mohanndessin
300133,3,399.42,127.00,1071.26,Mustafa Nahhas 133 - Mohandessin
300133,6,129.80,132.83,645.97,Sudan 140 - Mohandessin
300158,4,188.19,207.21,545.55,
300158,7,335.79,565.15,1785.38,Port Said 26 - Smouuha
300158,2,171.60,69.27,273.93,
300158,2,73.95,35.78,112.12,47 metro Smouha
300158,3,168.61,133.66,372.17,56 square Smouha
300158,8,41.58,68.83,263.81,142 mosque Smouha
300179,7,165.83,143.01,1017.80,"160 Sudan st., near park, SMOUHA"
300179,3,128.38,50.72,334.42,2 hospital Smouha
300179,4,83.37,58.86,274.62,"85 Sudan st., near gas station, Smouha"
300179,4,18.76,4.35,70.69,Faisal 135 - Smouha
300179,2,66.49,9.92,123.06,Gamet Dewal 187 - smouha
300179,2,433.02,63.86,802.18,174 police st. smouha
300183,2,163.86,16.65,311.07,Gamet Dewal 91 - SMOUHA
300183,6,462.57,103.99,2671.43,Salah Salem 230 - Smohua
300184,6,18.74,16.47,95.97,70 hospital Smouha
300184,1,139.66,23.51,116.15,
300184,6,23.21,18.68,120.58,Smouha 192 Tahrir st. metro
300184,3,101.86,43.06,262.52,Gamet Dewal 190 - Smouuha
300184,6,120.83,142.21,582.77,Abbas 146 - smouha
300184,2,190.86,39.00,342.72,Industrial Zone 193 - Smuoha
300189,4,18.52,15.43,58.65,
300189,7,515.10,501.34,3104.36,Smuoha 29 Port Said st. hospital
300193,1,326.66,31.52,295.14,
300193,4,100.42,69.79,331.89,Smoha 175 Geish st. market
300209,7,83.29,132.73,450.30,Corniche 23 - smouha
300209,2,18.90,6.21,31.59,142 bridge SMOUHA
300209,4,292.01,213.32,954.72,5 square Smouha
300209,2,17.77,8.88,26.66,"157 Geish st., near square, Smoha"
300209,3,23.76,16.93,54.35,
300209,8,188.14,284.33,1220.79,183 market Smoha
300209,3,219.97,90.03,569.88,smouha 187 Salah Salem st. metro
300209,3,43.29,29.09,100.78,"37 Mustafa Nahhas st., near mosque, Souha"
300218,8,283.82,296.35,1974.21,
300218,4,25.25,15.77,85.23,Geish 226 - Nasr City
300223,2,125.20,69.74,180.66,Abbas 102 - nasr city
300223,6,213.82,296.09,986.83,"138 Zayed st., near metro, nasr city"
300223,5,21.94,22.66,87.04,"13 Corniche st., near park, nasr city"
300223,4,163.40,172.66,480.94,Nasr ity 107 Corniche st. bridge
300223,4,201.52,188.54,617.54,"121 Port Said st., near bridge, nasr city"
300235,3,201.93,91.59,514.20,Haram 143 - Nasr City
300235,4,115.76,90.18,372.86,"30 Industrial Zone st., near metro, nasr city"
300235,4,481.95,292.63,1635.17,226 gas station Nar City
300235,3,57.46,25.94,146.44,Horreya 7 - Nasr City
300235,5,26.09,20.56,109.89,Nassr City 147 Autostrad st. mosque
300235,5,130.94,95.18,559.52,Nasr 102 - Nasr City
300235,3,183.92,67.01,484.75,
300236,4,77.48,53.29,256.63,Nasr City 187 Gamet Dewal st. bridge
300236,5,46.80,64.71,169.29,"5 Mustafa Nahhas st., near park, nasr city"
300236,5,319.41,210.08,1386.97,Nasr City 166 Autostrad st. school
300236,6,77.56,101.06,364.30,
300236,4,34.09,21.40,114.96,"121 Horreya st., near hospital, Nasr City"
300237,2,8.42,1.46,15.38,
300237,6,251.52,178.99,1330.13,
300239,5,57.10,29.89,255.61,Nasr City 201 Haram st. school
300239,6,41.49,25.28,223.66,Tahrir 28 - Nasr City
300239,2,48.29,15.49,81.09,Nasr City 164 Tahrir st. gas station
300239,1,74.65,10.32,64.33,Nasr 35 - Nasr City
300239,3,230.64,32.79,659.13,NASR CITY 71 Autostrad st. park
300239,5,73.71,27.12,341.43,175 hospital NASR CITY
300239,3,63.44,22.83,167.49,Nasr Cty 15 Corniche st. gas station
300239,4,136.09,81.60,462.76,Nasr Ciity 70 Geish st. metro
300239,5,12.29,6.49,54.96,"118 Port Said st., near metro, Nasr City"
300258,5,111.04,51.89,503.31,
300258,5,30.13,14.78,135.87,Nile 185 - Nasr City
300258,2,149.87,51.54,248.20,Nasr 116 - Nasr City
300258,4,224.40,173.75,723.85,
300258,2,87.74,17.61,157.87,
300258,3,134.77,12.18,392.13,Autostrad 206 - Nasr City
300263,3,513.06,325.08,1214.10,15 school Nasr City
300263,1,30.66,6.09,24.57,56 school Nasr Ctiy
300263,7,141.37,215.94,773.65,Nar City 232 Zayed st. school
300263,3,46.85,29.24,111.31,156 park Nasr City
300263,4,80.93,74.76,248.96,
300263,3,56.85,44.14,126.41,88 gas station nasr city
300263,4,77.09,65.74,242.62,9th District 144 - Nasr City
300263,4,89.66,101.69,256.95,20 metro NASR CITY
